Adult_IP	Sup_IP	LTR_type	family	HOG	cons	strand	length	dt	Adult_IP_rpkm	Sup_IP_rpkm	sim_LTR	length_centred
int_As:959	2.59182893748411	4.82059063993139	int	rnd-5_family-1507	N0.HOG0000179_OG0000165_-	LC	As	3.23223352111473	1	0.662328116268259	1.52989635431397	int	0.265776396005792
int_As:973	201.72412495936	321.906511580275	int	rnd-5_family-4989	N0.HOG0000010_OG0000006_n0	HC	As	3.95913683117037	1	4.47083612808455	5.14480309579118	int	0.992679706061433
soloLTR_As:1052	99.6358643989248	38.8343174016352	soloLTR	rnd-1_family-977	N0.HOG0000010_OG0000006_n0	HC	As	2.89872518158949	0	6.97660022399986	5.61973542015256	soloLTR	-0.0677319435194477
int_As:1065	116.00042033245	54.519406555639	int	rnd-5_family-273	N0.HOG0000027_OG0000016_n0	C	As	3.96815593714997	0	3.6431978718865	2.55543600310713	int	1.00169881204103
int_As:1069	19.0836174976104	8.60513770119867	int	rnd-4_family-770	N0.HOG0000174_OG0000160_-	LC	As	3.50392680419351	0	2.58847786093899	1.44937343958388	int	0.537469679084569
int_As:1103	59.0260782095453	217.760963562485	int	rnd-4_family-230	N0.HOG0000009_OG0000005_n23	HC	As	3.47943133719774	1	4.29330812722475	6.17468753060005	int	0.512974212088795
int_As:1197	56.3810498765991	97.9946894109855	int	rnd-5_family-1215	N0.HOG0000003_OG0000003_n0	C	As	3.8348020540487	1	3.04677427391147	3.84308413660631	int	0.868344928939758
LTR_As:1198	35.9588254821388	59.2797086396123	LTR	rnd-5_family-1215	N0.HOG0000003_OG0000003_n0	C	As	2.68574173860226	1	6.21658157424832	6.93606764170326	LTR	-0.280715386506678
int_As:1248	9.61385477022561	38.176898315944	int	rnd-5_family-842	N0.HOG0000003_OG0000003_n0	C	As	3.06781451116184	1	3.05608231653039	5.03347414750355	int	0.101357386052899
soloLTR_As:1330	4.56425961038125	0.21582982618085	soloLTR	rnd-3_family-522	N0.HOG0000010_OG0000006_n0	HC	As	2.68930885912362	0	3.25651958774785	-0.586007989081227	soloLTR	-0.277148265985321
int_As:1373	586.627544281857	1286.4776575188	int	rnd-5_family-9494	N0.HOG0000009_OG0000005_n23	HC	As	3.63588568528127	1	7.08420248842854	8.21696620931652	int	0.669428560172332
LTR_As:1392	19.2483724934968	12.0074242205145	LTR	rnd-5_family-4164	N0.HOG0000016_OG0000008_n0	HC	As	2.8750612633917	0	4.68985344333828	4.01392321981912	LTR	-0.091395861717241
LTR_As:1397	7.16417286697101	27.442051701788	LTR	rnd-1_family-807	no_RT	Other	As	2.42651126136458	1	4.76767601562635	6.68913025708101	LTR	-0.539945863744366
int_As:1398	33.0798559899397	133.088805228909	int	rnd-1_family-807	no_RT	Other	As	3.38327665040765	1	3.77941178224458	5.78421043948445	int	0.416819525298709
soloLTR_As:1400	2.47395368588294	17.4490642975699	soloLTR	rnd-1_family-807	no_RT	Other	As	2.42651126136458	1	3.27382914204645	6.03914698424838	soloLTR	-0.539945863744366
int_As:1405	12.1536481175653	2.19068851839748	int_fl	rnd-5_family-6178	N0.HOG0000095_OG0000081_n0	LC	As	3.36078268987328	0	2.41773471496983	0.00319139897419762	int	0.394325564764339
int_As:1408	16.5394376104147	0.867548596780505	int	rnd-5_family-10151	N0.HOG0000095_OG0000081_n0	LC	As	2.85672889038288	0	4.53326295458142	0.443483995049959	int	-0.109728234726059
